Imagen,Tipo,Ground Truth,Predicción,Distancia (px)
tipo2_img2677,Normal,"(123, 33)","(13, 30)",110.04
tipo2_img1035,Normal,"(124, 35)","(8, 28)",116.21
tipo2_img8352,Normal,"(125, 33)","(9, 31)",116.02
tipo2_img3800,Normal,"(126, 32)","(6, 32)",120.00
tipo2_img2742,Normal,"(127, 33)","(4, 32)",123.00
tipo2_img5766,Normal,"(128, 32)","(1, 30)",127.02
tipo2_img8218,Normal,"(129, 33)","(8, 31)",121.02
tipo2_img8907,Normal,"(130, 34)","(8, 27)",122.20
tipo2_img2227,Normal,"(131, 31)","(8, 29)",123.02
tipo2_img8559,Normal,"(132, 32)","(8, 31)",124.00
tipo2_img7545,Normal,"(133, 31)","(8, 33)",125.02
tipo2_img4178,Normal,"(134, 29)","(8, 28)",126.00
tipo2_img8732,Normal,"(135, 32)","(11, 36)",124.06
tipo2_img4596,Normal,"(136, 33)","(6, 30)",130.03
tipo2_img5020,Normal,"(137, 33)","(7, 33)",130.00
tipo2_img4846,Normal,"(138, 28)","(7, 32)",131.06
tipo2_img1433,Normal,"(139, 32)","(10, 32)",129.00
tipo2_img6151,Normal,"(140, 28)","(9, 31)",131.03
tipo2_img10169,Normal,"(141, 34)","(17, 38)",124.06
tipo2_img9308,Normal,"(142, 32)","(5, 31)",137.00
tipo2_img4488,Normal,"(143, 34)","(6, 31)",137.03
tipo2_img10179,Normal,"(144, 34)","(9, 31)",135.03
tipo2_img6411,Normal,"(145, 37)","(1, 32)",144.09
tipo2_img7718,Normal,"(146, 31)","(5, 33)",141.01
tipo2_img9992,Normal,"(147, 34)","(1, 31)",146.03
tipo2_img8879,Normal,"(148, 33)","(5, 31)",143.01
tipo2_img4554,Normal,"(149, 33)","(6, 31)",143.01
tipo2_img2012,Normal,"(150, 32)","(2, 31)",148.00
tipo2_img8543,Normal,"(151, 39)","(18, 36)",133.03
tipo2_img5241,Normal,"(152, 32)","(9, 30)",143.01
tipo2_img5497,Normal,"(153, 32)","(7, 30)",146.01
tipo2_img2575,Normal,"(154, 32)","(11, 32)",143.00
tipo2_img8035,Normal,"(155, 33)","(7, 31)",148.01
tipo2_img6262,Normal,"(156, 34)","(7, 30)",149.05
tipo2_img7848,Normal,"(157, 32)","(1, 27)",156.08
tipo2_img3343,Normal,"(158, 32)","(6, 32)",152.00
tipo2_img2306,Normal,"(159, 32)","(8, 30)",151.01
tipo3_img449,Viral Pneumonia,"(170, 33)","(9, 32)",161.00
tipo3_img1345,Viral Pneumonia,"(171, 31)","(7, 30)",164.00
tipo3_img549,Viral Pneumonia,"(172, 35)","(5, 34)",167.00
tipo3_img370,Viral Pneumonia,"(173, 29)","(4, 28)",169.00
tipo3_img909,Viral Pneumonia,"(174, 33)","(13, 32)",161.00
tipo3_img761,Viral Pneumonia,"(175, 35)","(3, 34)",172.00
tipo3_img840,Viral Pneumonia,"(176, 33)","(11, 32)",165.00
tipo3_img747,Viral Pneumonia,"(177, 31)","(3, 30)",174.00
tipo3_img250,Viral Pneumonia,"(178, 35)","(8, 34)",170.00
tipo3_img588,Viral Pneumonia,"(179, 33)","(7, 32)",172.00
tipo3_img1322,Viral Pneumonia,"(180, 32)","(7, 31)",173.00
tipo3_img425,Viral Pneumonia,"(181, 32)","(9, 31)",172.00
tipo3_img767,Viral Pneumonia,"(182, 31)","(9, 30)",173.00
tipo3_img1329,Viral Pneumonia,"(183, 32)","(9, 31)",174.00
tipo3_img199,Viral Pneumonia,"(184, 32)","(6, 31)",178.00
tipo3_img1057,Viral Pneumonia,"(185, 32)","(6, 31)",179.00
tipo3_img506,Viral Pneumonia,"(186, 36)","(7, 35)",179.00
tipo3_img207,Viral Pneumonia,"(187, 29)","(5, 28)",182.00
tipo3_img1022,Viral Pneumonia,"(188, 30)","(5, 29)",183.00
tipo3_img28,Viral Pneumonia,"(189, 31)","(1, 30)",188.00
tipo3_img1104,Viral Pneumonia,"(190, 29)","(6, 28)",184.00
tipo3_img542,Viral Pneumonia,"(191, 32)","(7, 31)",184.00
tipo3_img386,Viral Pneumonia,"(192, 33)","(12, 32)",180.00
tipo3_img14,Viral Pneumonia,"(193, 32)","(9, 31)",184.00
tipo3_img80,Viral Pneumonia,"(194, 34)","(7, 33)",187.00
tipo3_img1038,Viral Pneumonia,"(195, 34)","(3, 33)",192.00
tipo3_img306,Viral Pneumonia,"(196, 29)","(18, 30)",178.00
tipo3_img285,Viral Pneumonia,"(197, 32)","(3, 31)",194.00
tipo3_img508,Viral Pneumonia,"(198, 33)","(1, 32)",197.00
tipo3_img741,Viral Pneumonia,"(199, 33)","(3, 32)",196.00
